total_weight,center_of_mass_offset,thrust_to_weight,arm_length,propeller_size,motor_kv,score
968.5,0.95,3.37,151.9,6,1651,86.6
1290.8,0.07,1.71,193.6,8,2195,82.4
1019.1,1.3,2.03,174.4,5,2306,88.5
1477.4,0.22,2.32,201.4,8,2048,82.9
1056.5,0.08,1.88,172.4,6,2309,97.1
881.4,0.23,1.3,120.4,6,2137,79.4
500.0,1.6,3.12,117.2,5,1620,63.5
1168.1,0.06,2.77,179.5,6,1512,94.0
1554.7,0.46,3.39,140.6,9,2572,53.5
1173.9,1.34,2.17,107.5,6,1959,91.5
813.4,0.09,2.2,161.2,8,2481,76.7
1542.0,1.18,2.18,166.4,8,1596,90.7
1523.3,2.34,1.28,172.4,8,2441,34.9
914.4,0.61,2.9,208.3,8,2179,78.0
1408.7,0.48,1.77,188.0,9,1614,93.5
1182.8,1.55,2.87,116.8,7,2035,93.4
1032.6,1.8,3.07,106.1,5,2439,72.8
1147.8,0.73,1.44,201.6,8,2076,67.9
817.1,0.08,0.91,190.4,6,2059,50.6
1190.9,0.16,1.8,161.7,8,1632,100.0
618.4,2.06,3.3,137.3,6,1424,63.4
906.1,0.03,2.55,191.8,6,2337,100.0
1361.1,1.18,1.52,192.1,8,2418,69.3
1543.1,4.14,2.3,139.9,9,1470,38.9
817.0,0.27,3.35,162.1,6,1424,78.0
1098.6,0.44,2.09,156.1,6,1857,100.0
1252.4,1.22,0.9,130.5,8,2637,14.5
905.6,0.68,2.24,132.7,6,1610,93.9
1486.7,0.11,1.61,114.0,6,1940,100.0
1282.0,0.04,1.85,152.0,8,2170,78.0
1161.0,1.95,3.25,147.2,8,2462,46.8
793.0,3.97,2.51,135.2,5,2683,39.5
1353.9,0.51,1.3,168.8,9,2076,62.3
1287.9,2.56,0.99,195.9,9,1494,20.8
1114.1,1.34,1.74,157.2,6,1619,90.7
1379.4,0.8,3.27,145.8,9,2305,57.1
1217.5,0.58,2.89,185.0,6,2691,79.5
710.1,1.12,1.8,129.5,5,2489,94.2
1707.6,0.56,3.32,125.0,8,1592,86.4
1197.2,0.3,3.11,138.4,8,1574,93.0
1213.7,0.48,2.04,201.3,8,1511,100.0
1194.8,4.46,1.39,231.4,9,2503,0.0
856.4,0.02,1.07,167.7,5,1510,31.4
1958.4,3.58,2.96,211.4,9,1852,37.2
1366.4,1.7,1.31,228.2,9,1812,47.3
997.1,1.25,1.75,139.0,5,2003,92.8
695.5,0.33,3.13,102.6,5,2359,87.2
500.0,0.49,2.95,154.6,5,1585,89.8
1241.2,0.57,1.06,94.8,5,2510,47.5
1356.2,0.21,2.88,136.1,8,2647,72.8
1828.6,0.16,3.35,173.1,7,1450,88.7
1088.5,1.2,3.19,129.9,7,2549,66.1
696.3,1.13,1.67,150.9,5,2569,96.1
1045.5,3.81,3.47,113.7,7,2464,15.8
1262.3,0.01,1.12,115.1,7,1754,47.9
696.9,0.14,3.12,116.8,5,1762,83.0
918.7,0.65,1.57,192.5,7,1935,96.5
1127.4,0.58,1.31,147.3,9,1435,74.8
911.2,1.46,3.38,135.9,6,1676,77.6
1177.3,2.56,2.82,191.4,6,2409,70.0
850.7,1.71,2.39,105.4,5,1581,69.8
1253.3,0.37,2.0,128.7,8,1870,95.6
718.9,0.01,2.4,130.7,5,1816,87.7
894.8,1.41,2.01,131.0,8,2288,70.6
1032.1,0.15,2.75,106.6,6,2573,85.5
567.4,2.51,3.11,105.2,5,1803,48.9
1411.7,0.22,0.8,154.1,9,1913,28.0
1421.0,1.87,3.45,175.9,7,1965,78.2
1134.7,0.48,1.9,183.0,8,1840,96.8
762.4,0.16,1.14,200.5,7,2669,29.9
1238.4,0.19,2.56,202.3,7,2391,85.9
922.3,1.75,0.85,100.7,5,2469,38.3
782.3,1.96,2.94,180.9,7,1474,80.8
1085.1,1.11,3.32,230.9,9,2572,48.5
1173.1,1.21,1.96,170.4,7,1805,96.0
1080.6,0.71,3.14,169.5,5,1402,71.9
1552.6,0.78,0.87,227.3,9,2432,13.8
748.5,0.71,2.13,116.6,6,1913,96.1
1477.2,1.17,2.75,204.2,7,2661,75.7
623.3,0.47,0.85,159.2,5,1939,48.1
1261.1,2.04,1.38,135.7,6,1689,66.0
1276.2,0.32,3.36,128.3,6,1580,81.4
1410.6,3.39,2.46,166.8,8,1665,51.2
1128.1,0.44,3.43,222.0,9,1482,97.5
1420.5,0.48,0.95,161.4,7,1657,56.2
1334.5,0.2,2.63,106.2,5,2349,100.0
1563.3,0.33,1.77,196.7,8,1598,96.0
1038.4,0.2,2.96,180.0,9,2047,80.5
839.6,0.91,2.04,176.3,8,2506,68.9
1484.2,0.87,3.45,164.2,9,1665,76.3
997.9,0.57,3.02,154.0,9,2396,63.4
1114.6,1.16,1.11,165.1,7,2269,29.4
1346.0,2.42,1.02,136.2,9,2130,4.9
962.2,1.47,2.41,165.8,8,2260,69.3
1621.2,1.3,1.63,156.9,9,1418,90.7
772.9,0.29,2.04,167.9,7,1770,100.0
1276.0,0.33,1.77,203.1,7,2446,80.2
1162.7,1.59,3.21,212.9,8,2018,62.3
914.6,0.68,1.07,146.0,6,2042,49.7
870.8,0.21,1.19,147.1,6,1778,54.2
1327.9,0.05,1.5,140.0,9,2216,77.8
1223.7,0.04,2.29,112.9,5,2223,100.0
719.6,0.49,0.82,186.2,9,1489,51.2
1621.3,0.68,1.2,174.9,8,1543,82.6
590.1,0.03,2.64,164.9,8,2020,81.9
1534.9,0.17,2.14,179.4,8,2263,84.1
1166.4,0.67,3.34,208.5,8,1603,88.0
1362.9,0.76,3.04,192.3,8,2264,61.7
1002.5,0.59,2.56,140.4,7,1552,100.0
877.6,1.79,2.2,154.2,6,1928,87.1
1226.9,0.33,2.79,149.5,8,1738,100.0
814.6,2.67,2.89,83.8,5,2148,66.9
530.7,0.76,3.39,182.2,5,2479,85.8
500.0,0.45,2.91,91.2,5,1955,100.0
500.0,1.36,2.66,116.9,5,2152,87.6
1040.0,1.19,3.29,205.1,7,2330,74.5
1473.9,4.01,0.82,161.4,5,1950,0.0
697.2,0.22,3.45,174.0,8,2553,63.0
1856.5,0.05,2.14,142.3,9,1497,99.7
823.7,1.35,2.81,179.4,5,2192,90.2
1041.9,0.15,2.05,113.7,7,1821,92.0
1260.8,1.59,3.33,201.6,7,1479,76.2
668.2,1.36,2.93,84.9,5,1687,79.6
1150.0,1.39,1.12,191.8,9,2246,11.7
500.0,1.61,1.24,113.8,5,1568,53.1
1049.0,2.77,3.36,153.2,7,2502,44.7
842.8,0.45,2.2,191.4,6,1470,90.2
1095.8,1.27,1.18,179.6,8,1662,45.2
1331.0,0.42,2.83,203.5,7,2111,90.3
650.7,0.7,2.09,101.0,5,2122,95.5
1447.2,0.43,1.34,142.4,8,1929,74.1
500.0,0.42,1.68,140.8,5,2184,100.0
1045.1,0.77,1.14,87.8,5,1609,34.8
1288.3,0.33,2.6,106.2,6,1516,92.3
1217.4,0.07,2.8,218.5,8,2015,83.7
1211.8,0.43,0.85,131.8,8,2500,25.4
1133.0,1.17,2.6,172.0,6,1714,92.8
1221.8,0.97,1.65,178.5,7,1410,92.6
604.4,1.81,3.34,158.8,5,2474,71.6
1390.5,0.16,1.4,191.3,9,2430,48.6
1434.5,1.69,1.85,138.3,5,2354,86.2
589.4,0.7,3.41,141.1,5,1660,76.2
1219.0,0.38,2.47,111.8,7,1599,100.0
899.8,0.25,1.12,157.3,5,1729,35.2
926.3,1.68,1.58,133.0,6,1489,76.5
1265.4,1.35,2.33,171.2,6,1990,91.3
1707.0,0.98,2.46,213.5,8,1454,94.6
1810.5,0.42,0.91,152.8,9,2644,5.2
1004.8,0.21,2.66,110.0,5,1491,83.1
1168.3,1.39,1.6,125.3,5,1455,67.0
741.2,0.29,1.74,183.4,7,2602,76.9
500.0,1.2,2.4,128.2,6,1460,83.0
556.3,1.14,2.32,188.6,9,1516,94.3
1041.6,0.62,1.28,185.0,8,1989,67.0
1393.7,1.26,2.19,126.4,6,1635,95.0
1281.7,1.23,2.62,122.3,8,1432,92.5
803.4,0.65,2.58,147.0,7,2666,78.3
1777.8,3.98,1.01,124.3,7,2185,0.0
500.0,0.67,2.7,166.0,5,2497,91.2
1087.0,3.0,1.78,210.7,9,1420,70.4
1011.7,1.02,1.77,197.0,8,2577,68.7
1152.3,2.17,3.32,164.5,6,2677,59.6
673.9,0.44,3.18,124.5,7,2630,68.2
903.2,0.42,1.66,158.6,5,2572,100.0
500.0,0.73,1.62,146.5,5,2317,96.8
1353.5,0.23,1.12,211.6,8,1701,45.9
1243.4,0.77,1.09,148.2,7,1696,42.3
1186.3,0.15,1.07,216.8,9,2172,22.2
972.2,0.09,1.22,148.8,7,2467,56.6
578.3,0.11,0.97,123.7,8,2567,16.9
1295.1,1.17,1.78,206.0,8,2667,61.8
1014.0,2.78,2.58,172.2,7,1818,69.5
878.9,1.09,2.57,152.9,8,1461,96.3
1511.3,0.08,1.61,174.4,7,2257,85.2
943.0,0.21,1.4,133.0,6,1937,87.4
1007.8,0.06,1.14,129.1,7,2095,44.2
1463.1,0.28,2.08,199.6,7,2217,87.2
622.9,0.17,1.93,141.2,8,2459,76.5
939.8,0.93,2.87,151.2,8,2319,75.1
633.3,0.01,3.37,148.8,5,2374,85.6
500.0,0.44,2.62,156.0,5,1941,100.0
788.2,0.16,1.48,139.5,6,2655,70.0
500.0,2.17,1.01,107.5,5,2189,30.7
690.9,0.47,1.84,127.4,7,1432,100.0
1283.1,1.3,2.26,182.5,8,1980,78.2
678.0,0.49,3.31,87.3,5,1751,80.7
805.4,0.11,2.36,124.4,5,1654,90.2
552.9,2.03,2.27,176.9,6,2473,68.2
800.8,0.29,2.0,189.0,6,2446,94.5
930.6,1.21,1.34,134.3,7,2677,54.0
638.9,2.47,0.9,199.3,8,1672,27.1
1108.3,1.41,0.95,121.2,6,2092,42.3
1157.7,0.96,2.04,108.9,5,1649,84.8
1544.2,0.02,1.89,160.7,8,2660,68.5
673.0,0.7,2.7,135.9,8,2303,74.2
999.6,1.26,3.28,105.2,5,1631,68.7
749.8,1.56,2.67,138.6,6,1827,85.9
1295.9,0.02,2.85,156.4,5,2356,98.1
1157.6,1.63,2.3,185.0,8,2033,73.3
1684.4,0.36,1.65,152.4,9,1641,92.9
995.4,0.23,2.11,146.5,9,1533,97.2
1058.1,0.95,1.25,127.9,7,2494,55.0
1534.1,2.52,1.91,111.7,5,2423,75.6
500.0,1.12,2.68,124.4,5,1618,84.1
1105.5,1.02,1.78,196.5,7,2096,87.8
1271.3,1.62,1.85,110.6,7,1706,90.1
915.2,0.29,3.15,172.9,7,1713,92.9
961.8,0.14,2.51,132.5,8,2322,74.0
1135.2,0.19,0.87,158.9,5,1680,31.7
1302.1,0.62,0.87,214.6,8,1434,44.5
1611.7,0.54,2.79,112.0,7,1469,97.6
660.5,0.52,3.37,171.9,5,1759,78.9
1306.2,1.32,3.32,185.7,8,1807,68.8
898.0,0.97,0.86,174.8,8,1979,37.2
1340.7,2.81,1.96,164.9,7,1918,68.0
500.0,0.15,1.87,175.3,5,2005,100.0
1225.3,0.21,1.24,127.1,7,1480,77.4
667.6,0.32,2.5,87.6,5,1649,82.7
1339.3,0.84,1.21,221.7,9,2461,42.7
931.0,0.2,2.4,154.8,6,1444,81.3
922.3,0.27,2.82,111.7,6,1536,89.2
929.4,0.29,1.66,166.4,6,2222,98.8
659.3,0.15,1.47,199.6,7,2378,64.4
1474.6,0.84,1.31,135.6,9,2219,53.2
594.0,0.34,1.58,148.5,5,1766,88.2
1355.8,0.45,0.84,158.4,8,1628,47.3
925.2,0.64,2.19,90.8,5,1582,82.8
963.0,0.83,2.85,156.0,8,1866,89.5
500.0,1.27,1.59,176.8,5,2237,96.3
1482.2,0.43,2.35,166.6,9,1603,91.3
1189.2,0.54,2.4,182.3,8,2374,74.0
1096.7,0.21,1.25,139.3,7,2022,75.9
626.7,0.34,2.27,118.0,5,2491,100.0
660.9,0.02,1.01,132.7,5,2268,51.7
969.3,1.09,2.24,214.1,8,1949,83.4
1085.1,0.18,3.48,145.3,7,2003,90.3
888.5,0.76,1.88,152.0,7,2154,85.6
777.4,1.99,1.65,223.0,9,2027,61.2
1061.8,0.22,1.35,155.3,7,2415,66.7
1077.4,0.36,2.95,188.2,7,1494,95.7
1608.9,1.92,2.03,111.7,7,2669,66.5
622.9,0.59,2.95,109.4,6,2084,99.8
1341.4,0.08,3.27,201.9,9,2196,61.9
1068.9,0.2,3.14,161.3,5,2502,90.4
1263.3,0.69,3.1,198.9,8,1768,87.5
962.2,0.24,1.39,138.2,5,1678,64.6
1415.0,2.6,2.27,157.1,9,1750,53.5
1212.1,0.2,2.43,145.9,8,2649,70.1
1349.0,0.16,1.25,154.2,9,1805,67.2
1156.8,2.62,2.82,153.6,7,1845,66.9
1495.3,0.01,0.94,176.6,8,1722,51.6
1520.5,0.82,2.78,109.7,7,2029,100.0
500.0,2.47,1.53,116.3,5,1472,60.2
500.0,0.1,1.19,168.9,5,1917,45.6
1579.1,1.24,1.3,161.7,8,1421,73.8
1493.8,0.83,1.96,173.9,8,1578,97.8
1380.8,1.16,2.03,180.3,9,2107,70.8
1389.3,2.65,2.08,148.8,9,2532,35.1
1200.5,0.96,2.07,119.1,7,2652,67.9
1329.8,3.04,2.63,144.4,8,2337,41.0
580.1,1.52,1.2,149.4,5,2418,68.3
932.3,1.24,1.82,221.6,9,2347,63.0
1116.9,1.72,1.67,160.5,9,1930,61.8
710.9,1.38,1.1,116.7,5,1763,32.0
1351.2,0.18,3.35,169.7,9,1824,75.0
867.2,2.78,1.12,183.3,7,2358,2.0
1763.1,0.66,3.47,161.0,8,2639,56.5
500.0,0.54,1.5,135.4,5,2471,100.0
921.8,0.3,1.79,189.8,8,2071,79.3
1300.1,0.24,3.31,224.9,9,2696,48.1
1050.0,0.5,2.59,143.9,9,2453,60.5
1145.8,0.94,2.2,177.2,5,2412,98.7
1043.0,2.39,2.54,159.4,7,2278,67.7
1491.1,0.03,1.02,106.5,6,2346,51.0
1194.9,0.58,0.98,135.8,5,2387,47.1
818.7,0.48,3.34,142.1,6,2613,74.0
680.7,0.88,2.4,114.4,6,1551,84.9
1164.1,0.57,2.87,139.8,7,1654,100.0
1301.4,2.66,3.27,130.0,6,2102,61.8
574.6,0.41,2.98,140.0,6,2053,100.0
500.0,1.55,1.42,191.0,7,2157,62.1
767.2,0.33,0.89,138.5,6,2457,37.3
667.6,0.43,1.71,180.3,6,1586,89.0
1195.9,0.76,1.23,137.6,6,2278,79.6
500.0,1.3,1.51,109.0,5,2509,91.9
894.5,0.11,3.3,122.7,5,2072,90.4
560.7,0.88,0.95,87.1,5,2275,51.1
815.8,0.24,2.37,161.8,7,1517,94.5
1490.5,0.09,3.25,135.4,9,2481,60.0
519.4,0.61,2.78,177.5,6,2441,88.5
1255.3,0.2,1.45,150.9,6,2270,81.0
1128.5,0.19,1.53,187.0,7,2563,83.7
648.7,0.38,1.36,163.1,6,1857,81.0
1391.0,0.25,1.59,125.1,5,2105,99.7
1834.1,0.04,1.97,149.4,9,2041,80.4
628.1,0.04,3.36,160.3,8,2365,67.1
790.1,0.15,2.01,185.5,6,1611,100.0
618.6,0.2,0.97,86.0,5,1885,42.3
965.4,0.43,1.02,208.5,8,2543,18.8
1713.7,0.1,3.33,211.1,9,2290,58.8
944.4,0.62,1.79,152.8,8,2426,74.6
684.2,6.94,2.52,133.5,5,2652,0.0
1122.0,1.25,1.19,152.2,8,2652,14.7
500.0,0.15,1.7,202.9,7,2401,85.3
1445.5,1.47,2.19,149.6,8,2384,66.3
1380.4,2.63,1.62,151.6,6,1742,71.6
662.2,1.53,1.05,155.6,6,2564,24.0
1191.5,0.46,1.49,197.4,7,2480,62.3
799.8,1.15,1.76,170.7,5,2639,96.5
1124.2,1.77,2.93,152.7,6,2537,78.7
1807.4,0.16,0.82,232.9,9,1693,40.8
871.7,0.98,3.41,170.1,6,1427,74.2
507.2,0.29,1.17,131.7,6,2258,52.2
1428.9,1.64,2.32,91.2,5,1972,88.5
1186.2,0.67,3.32,129.1,8,2327,64.5
604.6,2.15,2.04,143.0,6,2455,67.2
938.4,0.39,3.36,115.1,7,1796,87.2
1160.3,0.72,1.78,144.0,8,2440,62.7
1019.7,0.07,1.67,150.7,9,2000,75.8
500.0,0.12,1.71,134.2,5,2475,100.0
1648.8,0.28,2.75,213.1,9,1769,87.6
1286.0,2.53,3.1,132.2,8,1563,58.9
1430.1,0.5,2.57,145.1,8,1849,89.4
1382.6,0.23,3.08,136.7,8,1943,79.8
1032.2,3.95,1.7,162.3,9,2109,14.6
1191.8,0.24,2.42,202.2,8,1750,97.5
1762.8,0.66,0.97,225.2,9,1778,30.3
1218.5,1.73,0.81,184.1,8,1600,33.4
1316.1,0.2,1.05,195.6,7,2530,31.3
1375.9,2.11,3.24,164.2,8,1904,61.0
1085.6,1.57,1.44,168.5,9,2411,32.6
1232.6,2.54,1.47,139.4,6,2451,46.5
1618.9,0.79,2.57,133.5,8,1736,89.1
923.0,0.69,1.01,194.3,6,1686,48.0
1362.2,1.44,2.13,199.8,7,2030,90.1
780.8,1.33,1.74,104.3,5,2454,91.5
1063.8,0.35,2.64,194.2,7,2065,91.3
1105.9,1.98,1.73,149.4,8,2674,46.8
599.5,0.49,2.33,135.6,6,1506,88.7
696.1,0.4,3.42,131.6,6,1905,94.6
1024.4,2.39,3.49,202.3,9,1516,64.0
1264.5,0.36,1.46,108.1,6,2668,62.9
1361.2,0.24,1.45,198.1,9,1478,77.1
1112.1,2.31,2.16,159.8,5,2140,77.8
571.6,0.86,0.99,170.2,8,1422,45.8
1032.4,0.87,3.41,195.1,9,2620,46.4
601.7,1.72,1.46,152.1,5,1760,57.6
1170.9,0.39,2.73,179.7,6,2099,100.0
956.2,2.41,2.68,195.0,6,1616,74.6
748.9,0.07,0.98,175.5,5,2389,45.3
500.0,0.43,1.81,118.0,6,2106,94.1
987.7,0.4,2.13,94.9,5,2027,98.5
1342.2,2.2,2.85,219.2,9,2619,43.4
1918.9,0.83,3.0,205.8,9,1966,75.1
500.0,0.46,2.98,98.4,5,1842,87.5
1311.3,0.34,2.77,153.2,9,1858,82.7
1014.4,0.76,1.78,168.0,9,1543,90.5
1001.7,1.14,3.05,186.8,9,1713,75.1
852.0,0.15,2.77,207.4,7,2274,87.2
1669.3,0.37,1.64,153.9,8,2128,87.7
915.0,1.96,1.93,114.0,6,2680,67.8
966.4,0.37,1.39,134.9,7,2038,77.1
1274.6,0.09,0.87,203.3,9,1873,35.0
851.1,1.12,1.08,117.2,5,2084,40.5
1205.6,3.08,1.14,226.2,9,2005,0.0
1287.4,0.78,1.79,168.2,8,2301,78.5
1414.8,0.79,1.2,149.6,9,2642,34.6
719.1,3.03,2.75,91.8,5,2660,59.0
1317.1,0.01,2.74,172.5,8,1674,97.5
1121.5,0.03,1.47,220.2,9,2151,57.9
1136.3,0.8,1.58,180.6,8,1616,95.1
500.0,1.63,1.68,153.3,6,2497,82.5
500.0,0.1,1.74,159.9,6,2075,97.4
1746.2,0.83,1.61,229.2,9,2109,71.8
1425.2,1.05,0.88,206.0,8,2322,24.9
1151.4,0.7,1.55,154.3,5,1807,90.2
1636.3,0.67,0.98,223.5,9,1547,40.2
685.6,0.13,2.76,158.0,6,2509,90.6
500.0,1.5,2.53,150.5,6,1902,89.2
1125.4,1.58,2.02,136.3,9,1631,76.3
1336.6,0.54,1.54,169.4,8,1897,87.6
925.9,0.44,2.8,100.4,6,1822,94.9
1212.2,0.37,1.45,200.2,8,1646,78.9
785.1,1.5,1.0,98.1,6,1504,27.3
547.1,1.76,1.08,100.3,6,1633,30.6
1541.5,1.07,1.36,112.6,7,2680,54.9
1083.3,0.04,0.88,136.9,6,1874,45.6
905.7,1.91,2.98,146.3,5,2403,86.1
893.5,0.51,2.09,225.5,9,2595,56.8
1294.5,0.52,1.04,179.9,9,2696,8.6
1369.3,2.02,2.72,203.4,8,2158,64.3
1488.2,1.71,3.43,148.1,6,2274,73.2
1077.3,0.01,1.61,103.3,5,2617,100.0
1098.6,0.55,3.23,210.8,8,1511,86.8
1257.8,2.65,2.98,185.7,7,1422,70.0
1311.8,1.37,2.06,183.0,8,2336,68.6
1440.4,0.4,0.94,212.2,8,1714,48.6
806.1,0.22,1.17,172.2,6,1601,48.5
1097.0,3.77,2.95,124.6,7,2017,50.9
946.8,1.76,3.04,135.0,8,2005,61.4
654.9,1.95,0.81,124.1,5,2394,35.1
1112.1,0.52,1.65,101.5,5,1424,81.0
1416.0,1.15,1.83,171.5,9,2056,69.0
627.6,0.43,2.43,126.5,7,1930,100.0
911.4,0.67,1.27,200.1,7,1445,78.6
1546.8,0.05,1.43,164.9,9,2458,53.0
674.7,1.31,3.5,208.1,8,1601,80.1
1275.4,1.67,2.85,142.0,7,1764,85.5
1067.6,1.49,2.95,89.0,5,1869,79.0
844.3,0.64,3.28,157.8,5,2176,87.4
717.1,0.87,3.38,160.5,6,1815,87.0
562.1,0.08,2.29,193.4,7,2098,94.1
883.3,0.84,0.85,209.3,8,2209,27.9
1822.8,0.06,3.24,212.9,9,1589,91.0
1307.2,0.47,1.5,219.0,9,1748,88.3
1572.1,1.12,2.78,158.3,8,1772,89.8
803.6,4.07,1.86,127.2,6,2384,41.0
1136.9,4.12,3.04,177.4,9,2386,0.0
1036.4,1.34,2.18,199.0,7,1510,88.4
1276.8,0.25,1.84,173.3,6,2045,96.1
1224.9,0.18,0.95,170.3,7,2436,25.1
500.0,0.98,3.46,117.4,5,1922,83.6
689.0,2.2,2.68,171.6,6,2525,66.6
937.7,2.37,1.75,151.3,9,1596,76.0
1292.2,2.11,2.36,155.2,6,1454,66.9
956.2,1.1,1.63,165.9,6,1582,82.1
985.5,0.13,2.22,99.7,6,2442,93.2
1029.3,1.76,1.3,152.8,6,1762,67.1
1039.4,1.86,2.73,207.3,7,1872,80.2
538.1,0.54,2.76,122.8,5,1408,82.0
605.0,2.22,1.75,200.0,8,2059,62.1
953.1,0.21,2.99,167.3,6,1424,89.6
2007.3,0.65,2.7,141.1,9,2480,62.0
613.6,0.59,1.59,97.5,6,2223,98.8
807.9,0.58,0.84,211.9,9,2602,9.5
959.0,0.01,3.29,127.6,7,1467,89.5
1459.6,1.36,2.93,167.3,9,2424,57.2
896.3,2.31,0.91,177.0,8,1447,24.0
566.3,0.08,1.27,136.2,5,2344,78.8
976.7,1.03,2.37,149.8,9,2620,57.0
1363.4,1.71,1.75,141.0,9,2471,46.8
858.3,0.74,1.12,149.7,5,1754,36.9
1093.4,0.45,2.79,207.2,8,2657,73.9
626.4,1.03,3.49,194.7,6,2409,73.0
1528.3,0.12,3.11,189.5,9,1836,74.7
971.3,1.25,2.51,140.3,5,2099,89.3
989.8,0.18,2.11,183.9,7,2025,97.7
858.5,0.31,2.18,108.1,5,1489,81.5
1310.0,0.7,1.99,185.5,7,1768,95.5
947.6,0.56,3.06,136.6,8,2338,61.9
500.0,0.56,2.67,155.3,6,2592,91.7
982.0,0.19,3.2,181.4,5,2354,90.1
1938.1,1.22,1.67,172.5,9,2600,55.7
598.8,0.22,2.97,162.7,8,1899,90.7
1225.7,0.06,0.85,164.5,5,2103,45.4
1331.2,2.86,3.37,189.1,9,1532,56.8
1041.5,0.01,1.71,172.8,5,1571,84.6
654.7,0.41,1.55,132.2,7,2162,88.9
584.7,0.57,2.07,158.8,5,1840,86.5
1030.5,0.51,0.92,176.0,5,2384,50.2
1034.5,0.23,2.8,130.6,5,1511,86.8
1110.6,0.8,2.87,186.9,8,2463,79.7
721.7,0.01,1.03,139.4,5,1501,33.4
1212.5,0.84,3.07,194.1,9,2597,46.6
653.5,0.43,3.31,174.2,7,1740,90.6
1085.3,1.27,2.85,132.8,7,2319,76.5
708.8,2.37,2.52,110.7,5,2213,77.9
1081.4,0.69,3.02,155.3,8,1595,86.4
802.6,0.86,3.36,140.2,8,2605,56.9
1275.8,0.35,3.39,219.8,9,2536,59.4
808.4,0.21,1.67,114.3,5,2658,98.5
1224.8,1.17,0.85,166.5,7,1904,41.8
1247.5,0.56,1.86,134.5,8,2494,74.2
500.0,1.66,3.42,138.0,5,1618,66.7
1116.9,1.9,1.45,174.3,8,1564,63.4
1484.3,0.15,3.04,171.5,8,1780,88.9
881.2,0.46,2.36,167.4,7,2607,78.2
500.0,0.26,2.75,104.8,6,1768,98.8
1200.5,1.16,2.57,232.8,9,1407,91.9
1170.1,0.7,2.62,224.8,9,1847,86.0
1378.2,2.03,1.47,128.4,7,2577,40.5
1402.5,1.84,2.69,186.7,8,1433,82.1
1321.3,1.08,2.68,151.5,5,1896,82.9
1287.5,0.32,1.57,132.1,8,2263,80.5
1811.8,2.06,3.01,118.1,7,1421,72.7
1971.7,0.61,1.48,185.0,9,2571,41.2
1382.7,0.29,2.78,209.7,8,2062,84.3
1634.9,0.52,2.09,137.3,9,1989,78.0
1039.0,0.36,0.82,113.1,5,2076,57.1
1570.2,3.34,3.07,223.5,9,2522,16.6
1084.8,4.23,0.85,166.7,9,1670,0.0
844.9,0.71,2.87,111.6,6,1400,81.7
833.9,0.5,2.52,132.5,6,1686,100.0
1221.9,2.71,1.43,187.2,6,2603,39.0
1516.7,0.25,3.33,164.3,9,2338,55.2
1105.2,0.01,1.4,148.4,7,2679,57.4
983.4,0.28,1.91,159.9,9,2597,62.6
895.0,1.53,1.36,134.0,7,2253,55.7
880.5,2.65,3.3,148.5,7,1449,59.3
1511.8,0.77,3.3,116.4,6,2016,84.2
1136.6,0.29,1.61,183.4,8,1589,95.3
500.0,1.18,2.53,114.2,5,2466,100.0
946.6,0.26,1.95,158.0,6,2159,100.0
984.6,1.78,2.83,158.4,6,1465,72.3
1158.6,0.08,2.69,211.2,8,1795,98.0
